R,AB,H,2B,3B,HR,BB,SO,SB,CS
567,4996,1192,187,63,17,460,,125.0,
824,5534,1510,293,38,192,519,1408.0,59.0,34.0
735,3129,977,121,61,17,34,28.0,45.0,19.0
695,5553,1479,259,44,108,506,603.0,30.0,35.0
289,1975,470,105,12,80,243,608.0,48.0,9.0
701,5465,1445,273,42,143,432,890.0,121.0,56.0
605,5358,1284,176,37,117,516,910.0,176.0,89.0
608,5472,1371,200,34,91,486,744.0,144.0,55.0
656,5207,1405,231,77,24,469,488.0,139.0,82.0
535,4528,1021,151,46,16,268,485.0,246.0,
763,5490,1403,268,29,203,536,1252.0,121.0,39.0
941,4855,1350,187,113,49,431,321.0,203.0,
722,5393,1476,224,73,82,410,584.0,68.0,
590,5106,1297,159,92,20,457,658.0,162.0,144.0
609,5437,1327,261,39,137,484,1228.0,149.0,41.0
710,5243,1414,247,35,158,423,761.0,70.0,33.0
371,2144,591,86,18,2,31,63.0,42.0,21.0
451,5077,1105,131,60,12,415,841.0,169.0,
780,5277,1352,210,49,164,599,648.0,51.0,
855,5555,1544,319,24,214,548,1085.0,111.0,47.0
756,5690,1616,263,27,124,480,589.0,91.0,49.0
724,5263,1393,198,48,170,463,793.0,69.0,37.0
755,5304,1558,255,88,22,513,392.0,115.0,87.0
734,5604,1459,339,16,165,428,1197.0,97.0,31.0
823,5592,1591,255,95,32,596,406.0,54.0,37.0
816,5555,1460,298,36,179,503,1224.0,88.0,25.0
687,5367,1392,234,51,112,502,609.0,29.0,25.0
758,5507,1431,216,28,147,595,919.0,128.0,57.0
572,5108,1245,176,81,18,470,640.0,220.0,163.0
737,5472,1497,235,43,132,493,672.0,58.0,44.0
703,5428,1363,265,13,177,539,1344.0,57.0,23.0
774,5666,1571,326,30,108,643,755.0,56.0,35.0
274,1908,430,91,11,71,238,524.0,26.0,3.0
585,5234,1366,195,80,28,355,550.0,187.0,
884,4419,1166,184,75,43,517,361.0,349.0,
595,5536,1403,228,44,90,503,876.0,87.0,49.0
669,5459,1374,209,27,159,447,1056.0,137.0,53.0
698,5443,1442,236,32,106,539,889.0,91.0,63.0
751,5490,1459,292,44,157,515,978.0,150.0,74.0
730,5433,1400,301,20,180,502,1233.0,71.0,37.0
560,5233,1351,209,40,80,417,590.0,41.0,
728,5193,1389,150,71,32,375,424.0,235.0,
526,3731,921,123,57,21,217,428.0,,
829,5641,1572,298,49,111,529,979.0,102.0,42.0
707,5516,1445,256,45,113,537,852.0,156.0,43.0
625,5065,1308,159,54,16,466,,215.0,
677,5424,1271,241,30,186,582,1520.0,69.0,26.0
510,5336,1233,205,28,66,479,988.0,44.0,51.0
703,5026,1335,178,83,33,333,408.0,183.0,
817,5286,1371,243,66,155,648,606.0,59.0,36.0
535,3902,1026,213,27,108,434,686.0,76.0,46.0
716,5475,1415,274,43,150,540,1388.0,128.0,51.0
676,5468,1282,265,34,170,566,1404.0,71.0,39.0
923,5690,1663,324,61,213,511,1027.0,132.0,54.0
840,4615,1326,209,101,55,522,403.0,238.0,
739,5374,1338,275,34,182,491,1356.0,76.0,23.0
755,5529,1426,243,35,175,514,926.0,55.0,43.0
865,4723,1421,175,75,36,414,275.0,243.0,
774,5249,1428,241,50,83,732,561.0,88.0,
589,5132,1356,260,62,38,389,512.0,99.0,64.0
237,1457,377,35,10,1,19,25.0,19.0,16.0
755,5332,1580,306,59,41,492,371.0,84.0,56.0
536,5310,1137,154,34,109,566,958.0,90.0,50.0
800,5485,1494,286,69,101,600,535.0,36.0,
809,5466,1511,276,68,76,553,494.0,69.0,
555,5048,1243,198,64,14,466,473.0,105.0,
666,5095,1360,209,58,19,397,623.0,280.0,
742,5449,1529,237,48,97,431,452.0,31.0,
679,5463,1357,229,20,162,537,1019.0,78.0,38.0
642,5491,1356,184,40,106,562,902.0,75.0,39.0
677,5283,1350,249,84,103,512,605.0,63.0,47.0
763,5330,1399,211,49,148,626,749.0,46.0,39.0
944,5667,1783,345,44,126,450,459.0,34.0,
563,4779,1182,238,24,107,436,920.0,79.0,46.0
665,5365,1453,266,67,52,468,504.0,94.0,40.0
689,5318,1372,218,56,137,557,615.0,29.0,27.0
596,5175,1269,229,36,78,569,646.0,37.0,43.0
673,5462,1349,280,25,158,531,1129.0,96.0,40.0
724,5545,1367,291,29,198,554,1452.0,102.0,44.0
503,5248,1240,200,36,98,487,930.0,42.0,50.0
724,5590,1512,287,32,142,536,758.0,30.0,26.0
693,5462,1400,281,32,161,481,1037.0,115.0,44.0
872,5481,1566,301,80,145,590,597.0,55.0,49.0
828,5329,1592,292,80,109,446,414.0,70.0,51.0
537,5131,1228,137,43,17,414,489.0,134.0,
730,5229,1354,239,62,98,609,607.0,37.0,38.0
651,5412,1313,241,37,170,444,1354.0,73.0,52.0
540,5190,1268,192,45,145,402,659.0,67.0,34.0
435,5017,1121,125,43,14,400,551.0,135.0,
493,5124,1204,167,22,88,472,868.0,64.0,57.0
573,3957,1004,152,69,17,146,408.0,,
649,5301,1539,236,111,36,349,334.0,103.0,98.0
894,5662,1578,304,40,178,624,986.0,101.0,48.0
659,4747,1149,130,76,55,270,456.0,314.0,
739,5423,1349,255,26,192,542,1000.0,52.0,37.0
506,5112,1243,134,57,12,390,627.0,223.0,
495,5441,1202,203,27,107,392,1129.0,28.0,42.0
825,5658,1544,268,61,183,538,1003.0,82.0,40.0
686,4840,1401,248,68,33,308,353.0,140.0,
610,5456,1355,255,32,140,417,1205.0,73.0,29.0
738,5457,1415,257,29,158,568,871.0,145.0,64.0
630,5494,1326,284,35,135,428,1341.0,70.0,30.0
849,5583,1510,312,26,222,526,1169.0,52.0,35.0
610,5316,1337,199,38,80,541,521.0,61.0,38.0
714,5260,1460,251,64,92,508,517.0,83.0,
751,5252,1493,222,129,39,420,514.0,177.0,
804,5490,1413,295,13,149,633,1122.0,131.0,47.0
700,5500,1388,195,36,148,592,908.0,73.0,32.0
476,2435,677,78,50,2,28,33.0,27.0,18.0
820,5339,1465,287,70,51,610,535.0,116.0,47.0
806,5491,1424,228,44,179,607,844.0,39.0,16.0
1002,5477,1564,279,82,160,766,527.0,77.0,66.0
721,5267,1380,231,32,153,624,739.0,29.0,21.0
712,5451,1432,284,22,167,449,1051.0,114.0,52.0
443,2806,728,110,28,9,128,193.0,,
722,5640,1467,241,22,154,509,835.0,41.0,39.0
656,5544,1379,262,22,198,478,1336.0,69.0,45.0
683,5508,1379,208,40,114,571,896.0,64.0,28.0
623,5423,1265,219,31,190,449,1539.0,77.0,27.0
637,5508,1401,255,50,110,537,1016.0,193.0,95.0
486,5366,1250,184,31,96,438,966.0,70.0,45.0
269,1997,482,101,12,58,181,461.0,23.0,7.0
659,5194,1384,229,41,109,463,678.0,48.0,32.0
857,5203,1574,300,95,35,574,379.0,73.0,92.0
840,5028,1461,279,23,207,542,766.0,132.0,53.0
775,4511,1200,173,83,45,473,296.0,213.0,
790,5609,1522,337,30,207,503,1093.0,62.0,36.0
812,5584,1498,264,22,196,586,952.0,63.0,26.0
899,5379,1587,262,74,142,554,518.0,51.0,44.0
284,2178,531,51,36,1,57,147.0,,
